DiaMesAno,HoraMinutosSegundos,Latitude,Longitude,Velocidade,Altitude,Satelites,GyroX,GyroY,GyroZ
2015-10-30,17-21-57,-34.85078,-7.14096,0.22,0.00,0,0.47,0.09,0.83
2015-10-30,17-21-57,-34.85078,-7.14096,0.22,0.00,0,0.48,0.09,0.83
2015-10-30,17-21-57,-34.85078,-7.14096,0.22,0.00,0,0.47,0.09,0.81
2015-10-30,17-21-57,-34.85078,-7.14096,0.22,0.00,0,0.47,0.09,0.82
2015-10-30,17-21-57,-34.85078,-7.14096,0.22,0.00,0,0.46,0.09,0.82
2015-10-30,17-21-57,-34.85078,-7.14096,0.22,0.00,0,0.50,0.10,0.84
2015-10-30,17-21-57,-34.85078,-7.14096,0.22,0.00,0,0.47,0.09,0.82
2015-10-30,17-21-57,-34.85078,-7.14096,0.22,0.00,0,0.47,0.10,0.82
2015-10-30,17-21-57,-34.85078,-7.14096,0.22,0.00,0,0.47,0.09,0.84
2015-10-30,17-21-57,-34.85078,-7.14096,0.22,0.00,0,0.47,0.09,0.82
2015-10-30,17-21-57,-34.85078,-7.14096,0.22,0.00,0,0.47,0.08,0.82
2015-10-30,17-21-57,-34.85078,-7.14096,0.22,0.00,0,0.47,0.10,0.83
2015-10-30,17-21-57,-34.85078,-7.14096,0.22,0.00,0,0.48,0.10,0.82
2015-10-30,17-21-58,-34.85078,-7.14096,0.22,62.50,6,0.47,0.09,0.82
2015-10-30,17-21-58,-34.85078,-7.14096,0.22,62.50,6,0.48,0.09,0.82
2015-10-30,17-21-58,-34.85078,-7.14096,0.22,62.50,6,0.47,0.09,0.82
2015-10-30,17-21-58,-34.85078,-7.14096,0.22,62.50,6,0.47,0.10,0.82
2015-10-30,17-21-58,-34.85078,-7.14096,0.22,62.50,6,0.47,0.09,0.82
2015-10-30,17-21-58,-34.85078,-7.14096,0.22,62.50,6,0.48,0.09,0.82
2015-10-30,17-21-58,-34.85078,-7.14096,0.22,62.50,6,0.47,0.09,0.82
2015-10-30,17-21-58,-34.85078,-7.14096,0.22,62.50,6,0.47,0.09,0.83
2015-10-30,17-21-58,-34.85078,-7.14096,0.22,62.50,6,0.47,0.09,0.82
2015-10-30,17-21-58,-34.85078,-7.14096,0.22,62.50,6,0.47,0.09,0.82
2015-10-30,17-21-58,-34.85078,-7.14096,0.22,62.50,6,0.47,0.10,0.83
2015-10-30,17-21-58,-34.85078,-7.14096,0.22,62.50,6,0.47,0.10,0.82
2015-10-30,17-21-59,-34.85078,-7.14095,0.31,62.50,6,0.48,0.09,0.83
2015-10-30,17-21-59,-34.85078,-7.14095,0.31,62.50,6,0.47,0.09,0.82
2015-10-30,17-21-59,-34.85078,-7.14095,0.46,62.50,6,0.47,0.09,0.82
2015-10-30,17-21-59,-34.85078,-7.14095,0.46,62.50,6,0.48,0.10,0.84
2015-10-30,17-21-59,-34.85078,-7.14095,0.46,62.50,6,0.47,0.10,0.83
2015-10-30,17-21-59,-34.85078,-7.14095,0.46,62.50,6,0.47,0.09,0.82
2015-10-30,17-21-59,-34.85078,-7.14095,0.46,62.50,6,0.48,0.09,0.82
2015-10-30,17-21-59,-34.85078,-7.14095,0.46,62.50,6,0.48,0.09,0.84
2015-10-30,17-21-59,-34.85078,-7.14095,0.46,62.50,6,0.47,0.10,0.82
2015-10-30,17-21-59,-34.85078,-7.14095,0.46,62.50,6,0.48,0.08,0.82
2015-10-30,17-21-59,-34.85078,-7.14095,0.46,62.50,6,0.48,0.09,0.82
2015-10-30,17-21-59,-34.85078,-7.14095,0.46,62.50,6,0.46,0.10,0.82
2015-10-30,17-21-59,-34.85078,-7.14095,0.46,62.50,6,0.47,0.10,0.82
2015-10-30,17-21-59,-34.85078,-7.14095,0.46,62.50,6,0.46,0.09,0.89
2015-10-30,17-21-59,-34.85078,-7.14095,0.46,62.50,6,0.48,0.09,0.80
2015-10-30,17-21-59,-34.85078,-7.14095,0.46,62.50,6,0.26,0.05,1.20
2015-10-30,17-21-59,-34.85078,-7.14095,0.46,62.50,6,0.45,-0.47,0.88
2015-10-30,17-21-59,-34.85078,-7.14095,0.46,62.50,6,0.34,-0.43,0.72
2015-10-30,17-21-59,-34.85078,-7.14095,0.46,62.50,6,0.21,0.08,0.79
2015-10-30,17-21-59,-34.85078,-7.14095,0.46,62.50,6,0.16,-0.51,-0.30
2015-10-30,17-21-59,-34.85078,-7.14095,0.46,62.50,6,0.08,-1.60,-1.00
2015-10-30,17-21-59,-34.85078,-7.14095,0.46,62.50,6,0.21,-0.59,-0.50
2015-10-30,17-21-59,-34.85078,-7.14095,0.46,62.50,6,0.15,-0.67,-0.52
2015-10-30,17-21-59,-34.85078,-7.14095,0.46,62.50,6,0.15,-0.82,-0.52
2015-10-30,17-21-59,-34.85078,-7.14095,0.46,62.50,6,0.21,-0.86,-0.68
2015-10-30,17-21-59,-34.85078,-7.14095,0.46,62.50,6,0.11,-0.90,-0.32
2015-10-30,17-21-59,-34.85078,-7.14095,0.46,62.50,6,0.14,-0.93,-0.51
2015-10-30,17-22-0,-34.85078,-7.14095,0.26,62.50,6,0.16,-0.93,-0.39
2015-10-30,17-22-0,-34.85078,-7.14095,0.26,62.50,6,0.13,-0.89,-0.40
2015-10-30,17-22-0,-34.85078,-7.14095,0.17,62.50,6,0.20,-0.88,-0.46
2015-10-30,17-22-0,-34.85078,-7.14095,0.17,62.50,6,0.30,-0.82,-0.92
2015-10-30,17-22-0,-34.85078,-7.14095,0.17,62.50,6,0.46,-0.81,-0.73
2015-10-30,17-22-0,-34.85078,-7.14095,0.17,62.50,6,0.51,-0.60,0.65
2015-10-30,17-22-0,-34.85078,-7.14095,0.17,62.50,6,0.58,-0.36,0.72
2015-10-30,17-22-0,-34.85078,-7.14095,0.17,62.50,6,0.49,-0.96,1.16
2015-10-30,17-22-0,-34.85078,-7.14095,0.17,62.50,6,0.17,-0.67,0.53
2015-10-30,17-22-0,-34.85078,-7.14095,0.17,62.50,6,0.07,-0.77,0.55
2015-10-30,17-22-0,-34.85078,-7.14095,0.17,62.50,6,0.05,-0.80,0.52
2015-10-30,17-22-0,-34.85078,-7.14095,0.17,62.50,6,0.05,-0.87,0.43
2015-10-30,17-22-0,-34.85078,-7.14095,0.17,62.50,6,0.04,-0.82,0.32
2015-10-30,17-22-0,-34.85078,-7.14095,0.17,62.50,6,0.15,-0.77,0.83
2015-10-30,17-22-0,-34.85078,-7.14095,0.17,62.50,6,0.27,-0.94,1.14
2015-10-30,17-22-0,-34.85078,-7.14095,0.17,62.50,6,0.71,-0.96,0.09
2015-10-30,17-22-0,-34.85078,-7.14095,0.17,62.50,6,-0.00,-0.42,-0.85
2015-10-30,17-22-0,-34.85078,-7.14095,0.17,62.50,6,-0.04,-0.98,-0.28
2015-10-30,17-22-0,-34.85078,-7.14095,0.17,62.50,6,0.08,-0.97,-0.51
2015-10-30,17-22-0,-34.85078,-7.14095,0.17,62.50,6,-0.07,-1.05,-0.18
2015-10-30,17-22-0,-34.85078,-7.14095,0.17,62.50,6,-0.02,-0.99,-0.29
2015-10-30,17-22-0,-34.85078,-7.14095,0.17,62.50,6,0.26,-0.94,-0.71
2015-10-30,17-22-0,-34.85078,-7.14095,0.17,62.50,6,0.33,-0.88,0.16
2015-10-30,17-22-0,-34.85078,-7.14095,0.17,62.50,6,0.23,-0.70,0.31
2015-10-30,17-22-1,-34.85078,-7.14094,1.19,62.50,6,0.13,-0.87,0.86
2015-10-30,17-22-1,-34.85078,-7.14094,1.19,62.50,6,0.02,-0.93,0.67
2015-10-30,17-22-1,-34.85078,-7.14094,1.19,62.50,6,-0.15,-0.97,0.16
2015-10-30,17-22-1,-34.85078,-7.14094,1.19,62.50,6,-0.13,-0.86,0.23
2015-10-30,17-22-1,-34.85078,-7.14094,1.19,62.50,6,-0.04,-1.02,0.35
2015-10-30,17-22-1,-34.85078,-7.14094,0.80,62.50,6,-0.08,-0.88,0.25
2015-10-30,17-22-1,-34.85078,-7.14094,0.80,62.50,6,-0.07,-0.91,0.20
2015-10-30,17-22-1,-34.85078,-7.14094,0.80,62.50,6,-0.03,-0.92,0.20
2015-10-30,17-22-1,-34.85078,-7.14094,0.80,62.50,6,-0.06,-0.97,0.20
2015-10-30,17-22-1,-34.85078,-7.14094,0.80,62.50,6,-0.04,-0.96,0.25
2015-10-30,17-22-1,-34.85078,-7.14094,0.80,62.50,6,-0.04,-0.89,0.07
2015-10-30,17-22-1,-34.85078,-7.14094,0.80,62.50,6,0.09,-0.88,0.73
2015-10-30,17-22-1,-34.85078,-7.14094,0.80,62.50,6,0.15,-0.80,0.72
2015-10-30,17-22-1,-34.85078,-7.14094,0.80,62.50,6,0.72,-0.91,1.50
2015-10-30,17-22-1,-34.85078,-7.14094,0.80,62.50,6,0.59,-0.49,-1.59
