DiaMesAno,HoraMinutosSegundos,Latitude,Longitude,Velocidade,Altitude,Satelites,GyroX,GyroY,GyroZ,AccX,AccY
2015-11-5,18-11-29,0.00000,0.00000,0.00,0.00,0,179.76,5.26,0.00,0.04,-0.00
2015-11-5,18-11-29,0.00000,0.00000,0.00,0.00,0,179.44,5.40,0.00,0.07,-0.01
2015-11-5,18-11-34,0.00000,0.00000,0.00,0.00,0,179.49,5.44,0.00,0.08,-0.01
2015-11-5,18-11-34,0.00000,0.00000,0.00,0.00,0,179.51,5.47,0.00,0.08,-0.01
2015-11-5,18-11-34,0.00000,0.00000,0.00,0.00,0,179.64,5.36,0.00,0.08,-0.01
2015-11-5,18-11-34,0.00000,0.00000,0.00,0.00,0,179.46,5.29,0.00,0.09,-0.01
2015-11-5,18-11-34,0.00000,0.00000,0.00,0.00,0,179.49,5.28,0.00,0.09,-0.01
2015-11-5,18-11-34,0.00000,0.00000,0.00,0.00,0,179.50,5.39,0.00,0.09,-0.01
2015-11-5,18-11-34,0.00000,0.00000,0.00,0.00,0,179.51,5.46,0.00,0.09,-0.01
2015-11-5,18-11-34,0.00000,0.00000,0.00,0.00,0,179.52,5.46,0.00,0.09,-0.01
2015-11-5,18-11-34,0.00000,0.00000,0.00,0.00,0,179.52,5.36,0.00,0.09,-0.01
2015-11-5,18-11-35,0.00000,0.00000,0.00,0.00,0,179.40,5.32,0.00,0.09,-0.01
2015-11-5,18-11-35,0.00000,0.00000,0.00,0.00,0,179.34,5.42,0.00,0.09,-0.01
2015-11-5,18-11-35,0.00000,0.00000,0.00,0.00,0,179.55,5.47,0.00,0.09,-0.01
2015-11-5,18-11-35,0.00000,0.00000,0.00,0.00,0,179.65,5.38,0.00,0.09,-0.01
2015-11-5,18-11-35,0.00000,0.00000,0.00,0.00,0,179.59,5.31,0.00,0.09,-0.01
2015-11-5,18-11-35,0.00000,0.00000,0.00,0.00,0,179.55,5.53,0.00,0.09,-0.01
2015-11-5,18-11-35,0.00000,0.00000,0.00,0.00,0,179.66,5.53,0.00,0.09,-0.01
2015-11-5,18-11-35,0.00000,0.00000,0.00,0.00,0,179.71,5.27,0.00,0.09,-0.00
2015-11-5,18-11-35,0.00000,0.00000,0.00,0.00,0,179.38,5.24,0.00,0.09,-0.01
2015-11-5,18-11-35,0.00000,0.00000,0.00,0.00,0,178.95,6.20,0.00,0.10,-0.02
2015-11-5,18-11-35,0.00000,0.00000,0.00,0.00,0,179.49,5.55,0.00,0.09,-0.01
2015-11-5,18-11-35,0.00000,0.00000,0.00,0.00,0,179.38,5.28,0.00,0.09,-0.01
2015-11-5,18-11-35,0.00000,0.00000,0.00,0.00,0,179.69,5.17,0.00,0.08,-0.01
2015-11-5,18-11-35,0.00000,0.00000,0.00,0.00,0,179.49,5.56,0.00,0.09,-0.01
2015-11-5,18-11-35,0.00000,0.00000,0.00,0.00,0,179.74,5.40,0.00,0.09,-0.00
2015-11-5,18-11-35,0.00000,0.00000,0.00,0.00,0,179.39,5.20,0.00,0.09,-0.01
2015-11-5,18-11-35,0.00000,0.00000,0.00,0.00,0,179.58,5.32,0.00,0.09,-0.01
2015-11-5,18-11-35,0.00000,0.00000,0.00,0.00,0,179.67,5.44,0.00,0.09,-0.01
2015-11-5,18-11-35,0.00000,0.00000,0.00,0.00,0,179.59,5.37,0.00,0.09,-0.01
2015-11-5,18-11-35,0.00000,0.00000,0.00,0.00,0,179.56,5.32,0.00,0.09,-0.01
2015-11-5,18-11-35,0.00000,0.00000,0.00,0.00,0,179.54,5.31,0.00,0.09,-0.01
2015-11-5,18-11-35,0.00000,0.00000,0.00,0.00,0,179.77,5.38,0.00,0.09,-0.00
2015-11-5,18-11-36,0.00000,0.00000,0.00,0.00,0,179.65,5.42,0.00,0.09,-0.01
2015-11-5,18-11-36,0.00000,0.00000,0.00,0.00,0,179.70,5.24,0.00,0.09,-0.00
