data,hora,latitude,longitude,velocidade,altitude,satelites,xg,yg,zg,x,y,z
1692015,21134,-7.14089,-34.85075,0.24,53.70,9,-0.21,-0.04,0.91,29,-1,20
1692015,21134,-7.14089,-34.85075,0.09,53.70,9,-0.21,-0.04,0.93,28,-3,20
1692015,21134,-7.14089,-34.85075,0.09,53.70,9,-0.21,-0.04,0.92,30,-3,15
1692015,21134,-7.14089,-34.85075,0.09,53.90,9,-0.21,-0.04,0.92,26,-10,19
1692015,21134,-7.14089,-34.85075,0.09,53.90,9,-0.21,-0.04,0.91,25,-6,22
1692015,21135,-7.14089,-34.85075,0.09,53.90,9,-0.21,-0.04,0.92,28,-4,23
1692015,21135,-7.14089,-34.85075,0.09,53.90,9,-0.21,-0.04,0.93,27,-3,16
1692015,21135,-7.14089,-34.85075,0.09,53.90,9,-0.21,-0.04,0.93,28,-10,20
1692015,21135,-7.14089,-34.85075,0.09,53.90,9,-0.21,-0.04,0.92,25,-7,16
1692015,21135,-7.14089,-34.85075,0.06,53.90,9,-0.21,-0.04,0.92,27,-6,23
1692015,21135,-7.14089,-34.85075,0.06,53.90,9,-0.21,-0.03,0.91,27,-2,20
1692015,21135,-7.14089,-34.85075,0.06,53.90,9,-0.21,-0.04,0.92,29,-7,18
1692015,21135,-7.14089,-34.85075,0.06,53.90,9,-0.21,-0.04,0.92,29,-7,19
1692015,21136,-7.14089,-34.85075,0.06,53.90,9,-0.21,-0.04,0.92,29,-7,14
1692015,21136,-7.14089,-34.85075,0.06,53.90,9,-0.21,-0.04,0.92,30,-8,20
1692015,21136,-7.14089,-34.85075,0.06,53.90,9,-0.21,-0.04,0.92,28,-7,21
1692015,21136,-7.14089,-34.85075,0.06,53.90,9,-0.21,-0.04,0.92,29,-3,18
1692015,21136,-7.14089,-34.85075,0.06,53.90,9,-0.21,-0.04,0.93,24,-4,22
1692015,21136,-7.14089,-34.85075,0.06,53.90,9,-0.21,-0.04,0.92,31,-5,22
1692015,21136,-7.14089,-34.85075,0.06,54.10,9,-0.21,-0.04,0.92,29,-5,19
1692015,21136,-7.14089,-34.85075,0.06,54.10,9,-0.21,-0.04,0.91,29,-8,18
1692015,21137,-7.14089,-34.85075,0.06,54.10,9,-0.21,-0.04,0.91,29,-7,18
1692015,21137,-7.14089,-34.85075,0.06,54.10,9,-0.21,-0.04,0.92,26,-4,21
1692015,21137,-7.14089,-34.85075,0.06,54.10,9,-0.21,-0.04,0.92,29,-4,25
1692015,21137,-7.14089,-34.85075,0.06,54.10,9,-0.21,-0.04,0.92,33,-4,19
1692015,21137,-7.14089,-34.85075,0.07,54.10,9,-0.21,-0.04,0.92,29,-8,19
1692015,21137,-7.14089,-34.85075,0.07,54.10,9,-0.21,-0.04,0.92,27,-5,21
1692015,21137,-7.14089,-34.85075,0.07,54.20,9,-0.21,-0.04,0.92,32,-3,23
1692015,21137,-7.14089,-34.85075,0.07,54.20,9,-0.21,-0.04,0.92,27,-6,19
1692015,21138,-7.14089,-34.85075,0.07,54.20,9,-0.21,-0.04,0.92,30,-2,21
1692015,21138,-7.14089,-34.85075,0.07,54.20,9,-0.21,-0.04,0.93,27,-3,23
1692015,21138,-7.14089,-34.85075,0.07,54.20,9,-0.21,-0.04,0.92,27,-7,21
1692015,21138,-7.14089,-34.85075,0.07,54.20,9,-0.21,-0.04,0.92,25,-8,22
1692015,21138,-7.14089,-34.85075,0.15,54.20,9,-0.21,-0.03,0.92,28,-4,22
1692015,21138,-7.14089,-34.85075,0.15,54.20,9,-0.21,-0.04,0.92,33,-4,24
1692015,21138,-7.14089,-34.85075,0.15,54.10,9,-0.21,-0.03,0.93,30,-2,19
1692015,21138,-7.14089,-34.85075,0.15,54.10,9,-0.21,-0.04,0.93,26,-5,14
1692015,21139,-7.14089,-34.85075,0.15,54.10,9,-0.21,-0.04,0.93,24,-6,22
1692015,21139,-7.14089,-34.85075,0.15,54.10,9,-0.21,-0.04,0.92,30,-4,11
1692015,21139,-7.14089,-34.85075,0.15,54.10,9,-0.21,-0.04,0.92,25,-9,20
1692015,21139,-7.14089,-34.85075,0.15,54.10,9,-0.21,-0.04,0.92,31,-6,17
1692015,21139,-7.14089,-34.85075,0.11,54.10,9,-0.21,-0.04,0.92,27,-7,16
1692015,21139,-7.14089,-34.85075,0.11,54.10,9,-0.21,-0.04,0.92,32,-6,21
1692015,21139,-7.14089,-34.85075,0.11,54.30,8,-0.20,-0.04,0.92,27,-1,18
1692015,21139,-7.14089,-34.85075,0.11,54.30,8,-0.21,-0.04,0.92,26,-6,17
1692015,21140,-7.14089,-34.85075,0.11,54.30,8,-0.21,-0.05,0.92,32,-7,23
1692015,21140,-7.14089,-34.85075,0.11,54.30,8,-0.21,-0.04,0.92,25,-5,19
1692015,21140,-7.14089,-34.85075,0.11,54.30,8,-0.21,-0.04,0.92,25,-8,20
1692015,21140,-7.14089,-34.85075,0.11,54.30,8,-0.21,-0.04,0.91,25,-8,17
1692015,21140,-7.14089,-34.85075,0.19,54.30,8,-0.21,-0.04,0.92,27,-5,21
1692015,21140,-7.14089,-34.85075,0.19,54.30,8,-0.21,-0.04,0.92,27,-8,17
1692015,21140,-7.14089,-34.85075,0.19,54.50,7,-0.21,-0.04,0.92,25,-7,25
1692015,21140,-7.14089,-34.85075,0.19,54.50,7,-0.21,-0.04,0.92,32,-9,20
1692015,21141,-7.14089,-34.85075,0.19,54.50,7,-0.21,-0.04,0.92,30,-1,21
1692015,21141,-7.14089,-34.85075,0.19,54.50,7,-0.21,-0.04,0.92,31,-2,21
1692015,21141,-7.14089,-34.85075,0.19,54.50,7,-0.21,-0.04,0.93,25,-5,20
1692015,21141,-7.14089,-34.85075,0.19,54.50,7,-0.21,-0.04,0.92,23,-6,24
1692015,21141,-7.14089,-34.85075,0.06,54.50,7,-0.21,-0.04,0.92,28,-6,24
1692015,21141,-7.14089,-34.85075,0.06,54.50,7,-0.21,-0.04,0.92,31,-4,16
1692015,21141,-7.14089,-34.85075,0.06,54.60,7,-0.21,-0.04,0.92,28,-7,19
1692015,21141,-7.14089,-34.85075,0.06,54.60,7,-0.21,-0.04,0.92,31,-7,24
1692015,21142,-7.14089,-34.85075,0.06,54.60,7,-0.21,-0.03,0.92,27,-5,19
1692015,21142,-7.14089,-34.85075,0.06,54.60,7,-0.21,-0.04,0.92,26,-7,19
1692015,21142,-7.14089,-34.85075,0.06,54.60,7,-0.21,-0.04,0.92,31,-5,14
1692015,21142,-7.14089,-34.85075,0.06,54.60,7,-0.21,-0.04,0.92,28,-8,23
1692015,21142,-7.14089,-34.85075,0.13,54.60,7,-0.21,-0.04,0.92,30,-7,19
1692015,21142,-7.14089,-34.85075,0.13,54.60,7,-0.21,-0.04,0.92,26,-6,22
1692015,21142,-7.14089,-34.85075,0.13,54.70,7,-0.21,-0.04,0.93,33,-6,23
